Date,Open,High,Low,Close,Adj Close,Volume,M2,Open_1,High_1,Low_1,Close_1
2020-04-17,8667.48,8670.30,8531.69,8650.14,8650.14,4335020000,17004.36,7669.11,7671.60,7548.96,7653.77
2020-04-20,8553.38,8684.91,8553.38,8560.73,8560.73,3796950000,17076.40,7536.22,7652.11,7536.22,7542.70
2020-04-21,8460.69,8480.29,8215.69,8263.23,8263.23,3756290000,17142.42,7425.85,7443.05,7210.81,7252.54
2020-04-22,8434.55,8537.31,8404.54,8495.38,8495.38,3025060000,17208.44,7374.50,7464.35,7348.27,7427.69
2020-04-23,8528.84,8635.23,8475.20,8494.75,8494.75,3734720000,17274.46,7428.44,7521.11,7381.73,7398.75
2020-04-24,8530.08,8642.93,8464.42,8634.52,8634.52,3673170000,17340.48,7401.24,7499.15,7344.27,7491.86
2020-04-27,8717.98,8754.57,8697.37,8730.16,8730.16,3678460000,17406.50,7535.58,7567.21,7517.77,7546.11
2020-04-28,8825.69,8830.57,8600.70,8607.73,8607.73,3707540000,17445.20,7611.76,7615.97,7417.72,7423.78
2020-04-29,8802.70,8957.27,8765.01,8914.71,8914.71,4378540000,17483.90,7575.13,7708.14,7542.69,7671.52
2020-04-30,8911.02,8926.11,8825.83,8889.55,8889.55,4316380000,17522.60,7651.41,7664.36,7578.26,7632.97
2020-05-01,8681.29,8754.46,8566.84,8604.95,8604.95,3722520000,17561.30,7437.72,7500.41,7339.67,7372.32
2020-05-04,8555.32,8715.82,8537.83,8710.71,8710.71,3422150000,17600.00,7313.68,7450.89,7298.73,7446.52
2020-05-05,8809.66,8909.96,8781.31,8809.12,8809.12,3913360000,17643.88,7512.38,7597.91,7488.20,7511.92
2020-05-06,8874.70,8933.25,8819.37,8854.39,8854.39,3620030000,17687.76,7549.07,7598.87,7502.00,7531.79
2020-05-07,8973.78,9015.99,8932.86,8979.66,8979.66,3762070000,17731.64,7614.46,7650.27,7579.74,7619.45
2020-05-08,9056.89,9125.98,9018.21,9121.32,9121.32,3777340000,17775.52,7666.01,7724.49,7633.27,7720.54
2020-05-11,9054.91,9241.92,9053.17,9192.34,9192.34,3898690000,17819.40,7645.46,7803.36,7643.99,7761.50
2020-05-12,9225.15,9250.96,9000.07,9002.55,9002.55,4315070000,17837.44,7781.32,7803.09,7591.47,7593.56
